

#sentence 0
23	if	if	SCONJ	IN	mark	are	28	None	None	None	adverbial_subordinator_conditional	None	None	None	None	None
24	the	the	DET	DT	det	senses	25	None	None	None	None	None	None	None	None	None
25	senses	sense	NOUN	NNS	nsubj	are	28	nn_all	None	None	None	None	None	None	nn_cognitive	None
26	of	of	ADP	IN	prep	senses	25	prep_phrase	None	None	None	None	None	None	None	None
27	human	human	ADJ	JJ	pobj	of	26	None	None	None	None	None	None	None	None	None
28	are	be	AUX	VBP	advcl	has	17	None	None	be_mv	None	None	None	None	None	None
29	complete	complete	ADJ	JJ	acomp	are	28	None	jj_predicative	None	None	None	None	None	None	None
30	.	.	PUNCT	.	punct	say	14	None	None	None	None	None	None	None	None	None

#sentence 2
31	By	by	ADP	IN	prep	lose	36	prep_phrase	None	None	None	None	None	None	None	None
32	accident	accident	NOUN	NN	pobj	By	31	nn_all	None	None	None	None	None	None	None	None
33	,	,	PUNCT	,	punct	lose	36	None	None	None	None	None	None	None	None	None
34	people	people	NOUN	NNS	nsubj	lose	36	nn_all	None	None	None	None	None	None	nn_animate	None
35	can	can	AUX	MD	aux	lose	36	None	None	None	None	None	None	None	None	None
36	lose	lose	VERB	VB	ROOT	lose	36	verb	non_past_tense	None	None	None	None	None	activity_verb	None
37	one	one	NUM	CD	dobj	lose	36	None	pp_indefinite	None	None	None	None	None	None	None
38	of	of	ADP	IN	prep	one	37	prep_phrase	None	None	None	None	None	None	None	None
39	their	their	PRON	PRP$	poss	sense	40	pp_all	pp3	None	None	None	None	None	None	None
40	sense	sense	NOUN	NN	pobj	of	38	nn_all	None	None	None	None	None	None	nn_cognitive	None
41	an	an	CCONJ	CC	cc	lose	36	None	None	None	None	None	None	None	None	None
42	can	can	AUX	MD	aux	survive	44	None	None	None	None	None	None	None	None	None
43	still	still	ADV	RB	advmod	survive	44	None	None	None	None	None	None	None	None	None
44	survive	survive	VERB	VB	conj	lose	36	verb	non_past_tense	split_aux	None	None	None	None	None	None
45	in	in	ADP	IN	prep	survive	44	prep_phrase	None	None	None	None	None	None	None	None
46	the	the	DET	DT	det	society	47	None	None	None	None	None	None	None	None	None
47	society	society	NOUN	NN	pobj	in	45	nn_all	None	None	None	None	None	None	None	None
48	.	.	PUNCT	.	punct	lose	36	None	None	None	None	None	None	None	None	None

#sentence 3
49	However	however	ADV	RB	advmod	is	55	None	conjuncts_adverb	None	None	None	None	None	None	None
50	,	,	PUNCT	,	punct	is	55	None	None	None	None	None	None	None	None	None
51	the	the	DET	DT	det	thing	54	None	None	None	None	None	None	None	None	None
52	most	most	ADV	RBS	advmod	difficult	53	None	emphatics	None	None	None	None	None	None	None
53	difficult	difficult	ADJ	JJ	amod	thing	54	None	jj_attributive	None	None	None	None	None	None	None
54	thing	thing	NOUN	NN	nsubj	is	55	nn_all	None	None	None	None	None	None	None	None
55	is	be	AUX	VBZ	ROOT	is	55	None	None	be_mv	None	None	None	None	None	None
56	the	the	DET	DT	det	case	57	None	None	None	None	None	None	None	None	None
57	case	case	NOUN	NN	attr	is	55	nn_all	None	None	None	None	None	None	nn_concrete	None
58	of	of	ADP	IN	prep	case	57	prep_phrase	None	None	None	None	None	None	None	None
59	the	the	DET	DT	det	author	60	None	None	None	None	None	None	None	None	None
60	author	author	NOUN	NN	pobj	of	58	nn_all	None	None	None	None	None	None	nn_animate	None
61	Helen	helen	PROPN	NNP	compound	Keller	62	nn_all	None	None	None	None	None	None	None	None
62	Keller	keller	PROPN	NNP	appos	author	60	nn_all	nominalization	None	None	None	None	None	None	None
63	who	who	PRON	WP	nsubj	lost	65	wh_relative_clause	wh_relative_subj_clause	None	None	None	None	None	None	None
64	has	have	AUX	VBZ	aux	lost	65	None	None	None	None	None	None	None	None	None
65	lost	lose	VERB	VBN	relcl	author	60	verb	perfect_aspect	None	None	None	None	None	activity_verb	None
66	her	her	PRON	PRP$	poss	sight	67	pp_all	pp3	None	None	None	None	None	None	None
67	sight	sight	NOUN	NN	dobj	lost	65	nn_all	None	None	None	None	None	None	None	None
68	and	and	CCONJ	CC	cc	sight	67	None	cc_phrase	None	None	None	None	None	None	None
69	her	her	PRON	PRP$	poss	hear	70	pp_all	pp3	None	None	None	None	None	None	None
70	hear	hear	NOUN	NN	conj	sight	67	nn_all	None	None	None	None	None	None	None	None
71	.	.	PUNCT	.	punct	is	55	None	None	None	None	None	None	None	None	None

#sentence 4
72	I	i	PRON	PRP	nsubj	say	74	pp_all	pp1	None	None	None	None	None	None	None
73	will	will	AUX	MD	aux	say	74	None	None	None	None	None	None	None	None	None
74	say	say	VERB	VB	ROOT	say	74	verb	non_past_tense	None	None	None	None	None	communication_verb	None
75	that	that	SCONJ	IN	mark	is	77	None	None	None	None	None	None	None	None	None
76	herself	herself	PRON	PRP	nsubj	is	77	pp_all	pp3	None	None	None	None	None	None	None
77	is	be	AUX	VBZ	advcl	is	91	None	None	be_mv	None	None	None	None	None	None
78	memoir	memoir	NOUN	NN	compound	sense	79	nn_all	None	None	None	None	None	None	None	None
79	sense	sense	NOUN	NN	dep	lost	82	nn_all	None	None	None	None	None	None	nn_cognitive	None
80	she	she	PRON	PRP	nsubj	lost	82	pp_all	pp3	None	None	None	None	None	None	None
81	has	have	AUX	VBZ	aux	lost	82	None	None	None	None	None	None	None	None	None
82	lost	lose	VERB	VBN	dep	is	77	verb	perfect_aspect	None	None	None	None	None	activity_verb	None
83	essential	essential	ADJ	JJ	amod	senses	84	None	jj_attributive	None	None	None	None	None	None	None
84	senses	sense	NOUN	NNS	dobj	lost	82	nn_all	None	None	None	None	None	None	nn_cognitive	None
85	the	the	DET	DT	det	thing	88	None	None	None	None	None	None	None	None	None
86	most	most	ADV	RBS	advmod	important	87	None	emphatics	None	None	None	None	None	None	None
87	important	important	ADJ	JJ	amod	thing	88	None	jj_attributive	None	None	None	None	None	None	None
88	thing	thing	NOUN	NN	nsubj	is	91	nn_all	None	None	None	None	None	None	None	None
89	for	for	ADP	IN	prep	is	91	prep_phrase	None	None	None	None	None	None	None	None
90	her	she	PRON	PRP	pobj	for	89	pp_all	pp3	None	None	None	None	None	None	None
91	is	be	AUX	VBZ	ccomp	say	74	None	None	be_mv	None	None	None	None	None	None
92	memoir	memoir	NOUN	NN	attr	is	91	nn_all	None	None	None	None	None	None	None	None
93	.	.	PUNCT	.	punct	say	74	None	None	None	None	None	None	None	None	None

#sentence 5
94	If	if	SCONJ	IN	mark	ask	97	None	None	None	adverbial_subordinator_conditional	None	None	None	None	None
95	I	i	PRON	PRP	nsubj	ask	97	pp_all	pp1	None	None	None	None	None	None	None
96	was	be	AUX	VBD	aux	ask	97	None	None	None	None	None	None	None	None	None
97	ask	ask	VERB	VB	advcl	have	116	verb	non_past_tense	None	None	None	None	None	communication_verb	None
98	first	first	ADV	RB	advmod	ask	97	None	None	None	None	None	None	None	None	None
99	about	about	ADP	IN	prep	ask	97	prep_phrase	None	None	None	None	None	None	None	None
100	what	what	PRON	WP	nsubj	be	102	None	None	None	None	None	None	None	None	None
101	might	might	AUX	MD	aux	be	102	None	None	None	None	None	None	None	None	None
102	be	be	AUX	VB	pcomp	about	99	None	None	be_mv	None	None	None	None	None	None
103	the	the	DET	DT	det	answers	105	None	None	None	None	None	None	None	None	None
104	possible	possible	ADJ	JJ	amod	answers	105	None	jj_attributive	None	None	None	None	None	None	None
105	answers	answer	NOUN	NNS	attr	be	102	nn_all	None	None	None	None	None	None	nn_abstract	None
106	to	to	PART	TO	aux	educate	107	None	None	None	None	None	None	None	None	None
107	educate	educate	VERB	VB	relcl	answers	105	verb	non_past_tense	None	None	to_clause	to_clause_noun	None	None	None
108	this	this	DET	DT	det	kind	109	None	None	None	None	None	None	None	None	None
109	kind	kind	NOUN	NN	dobj	educate	107	nn_all	None	None	None	None	None	None	nn_abstract	None
110	of	of	ADP	IN	prep	kind	109	prep_phrase	None	None	None	None	None	None	None	None
111	people	people	NOUN	NNS	pobj	of	110	nn_all	None	None	None	None	None	None	nn_animate	None
112	,	,	PUNCT	,	punct	have	116	None	None	None	None	None	None	None	None	None
113	I	i	PRON	PRP	nsubj	have	116	pp_all	pp1	None	None	None	None	None	None	None
114	would	would	AUX	MD	aux	have	116	None	None	None	None	None	None	None	None	None
115	n't	not	PART	RB	neg	have	116	None	None	None	None	contraction	None	None	None	None
116	have	have	VERB	VB	ROOT	have	116	verb	non_past_tense	None	None	None	None	None	None	None
117	any	any	DET	DT	det	idea	118	None	None	None	None	None	None	None	None	None
118	idea	idea	NOUN	NN	dobj	have	116	nn_all	None	None	None	None	None	None	None	None
119	about	about	ADP	IN	prep	idea	118	prep_phrase	None	None	None	None	None	None	None	None
120	that	that	PRON	DT	pobj	about	119	None	pp_demonstrative	None	None	None	None	None	None	None
121	.	.	PUNCT	.	punct	have	116	None	None	None	None	None	None	None	None	None

#sentence 6
122	She	she	PRON	PRP	nsubj	have	125	pp_all	pp3	None	None	None	None	None	None	None
123	did	do	AUX	VBD	aux	have	125	None	None	None	None	None	None	None	None	None
124	n't	not	PART	RB	neg	have	125	None	None	None	None	contraction	None	None	None	None
125	have	have	VERB	VB	ROOT	have	125	verb	non_past_tense	None	None	None	None	None	None	None
126	any	any	DET	DT	det	problem	127	None	None	None	None	None	None	None	None	None
127	problem	problem	NOUN	NN	dobj	have	125	nn_all	None	None	None	None	None	None	None	None
128	with	with	ADP	IN	prep	problem	127	prep_phrase	None	None	None	None	None	None	None	None
129	her	her	PRON	PRP$	poss	touch	130	pp_all	pp3	None	None	None	None	None	None	None
130	touch	touch	NOUN	NN	pobj	with	128	nn_all	None	None	None	None	None	None	None	None
131	so	so	CCONJ	CC	cc	have	125	None	None	None	None	None	None	None	None	None
132	like	like	SCONJ	IN	mark	said	134	None	None	None	adverbial_subordinator_other	None	None	None	None	None
133	she	she	PRON	PRP	nsubj	said	134	pp_all	pp3	None	None	None	None	None	None	None
134	said	say	VERB	VBD	advcl	gave	139	verb	past_tense	None	None	None	None	None	communication_verb	None
135	her	her	PRON	PRP$	poss	teacher	136	pp_all	pp3	None	None	None	None	None	None	None
136	teacher	teacher	NOUN	NN	nsubj	gave	139	nn_all	nominalization	None	None	None	None	None	nn_animate	None
137	Anne	anne	PROPN	NNP	compound	Sullivan	138	nn_all	None	None	None	None	None	None	None	None
138	Sullivan	sullivan	PROPN	NNP	appos	teacher	136	nn_all	nominalization	None	None	None	None	None	None	None
139	gave	give	VERB	VBD	conj	have	125	verb	past_tense	None	None	None	None	None	activity_verb	None
140	her	she	PRON	PRP	dative	gave	139	pp_all	pp3	None	None	None	None	None	None	None
141	a	a	DET	DT	det	doll	142	None	None	None	None	None	None	None	None	None
142	doll	doll	NOUN	NN	dobj	gave	139	nn_all	None	None	None	None	None	None	None	None
143	to	to	PART	TO	aux	let	144	None	None	None	None	None	None	None	None	None
144	let	let	VERB	VB	advcl	gave	139	verb	non_past_tense	None	None	to_clause	to_clause_noun	None	causation_verb	None
145	her	she	PRON	PRP	nsubj	play	146	pp_all	pp3	None	None	None	None	None	None	None
146	play	play	VERB	VB	ccomp	let	144	verb	non_past_tense	None	None	None	None	None	activity_verb	None
147	with	with	ADP	IN	prep	play	146	prep_phrase	None	None	None	None	None	None	None	None
148	that	that	PRON	DT	pobj	with	147	None	pp_demonstrative	None	None	None	None	None	None	None
149	a	a	DET	DT	det	while	151	None	None	None	None	None	None	None	None	None
150	little	little	ADJ	JJ	amod	while	151	None	jj_attributive	None	None	None	None	None	None	None
151	while	while	NOUN	NN	npadvmod	play	146	nn_all	None	None	None	None	None	None	None	None
152	and	and	CCONJ	CC	cc	gave	139	None	cc_phrase	None	None	None	None	None	None	None
153	spelled	spell	VERB	VBD	conj	gave	139	verb	past_tense	None	None	None	None	None	None	None
154	it	it	PRON	PRP	dobj	spelled	153	pp_all	pp3_it	None	None	None	None	None	None	None
155	with	with	ADP	IN	prep	spelled	153	prep_phrase	None	None	None	None	None	None	None	None
156	her	her	PRON	PRP$	poss	finger	157	pp_all	pp3	None	None	None	None	None	None	None
157	finger	finger	NOUN	NN	pobj	with	155	nn_all	None	None	None	None	None	None	nn_concrete	None
158	.	.	PUNCT	.	punct	have	125	None	None	None	None	None	None	None	None	None
